ec,support_count,query_count,fallback_episodes
1.14.13.216,37,185,37
1.14.13.218,53,265,53
1.14.13.22,42,210,42
1.14.13.220,38,190,38
1.14.13.222,33,165,33
1.14.13.223,29,145,29
1.14.13.225,0,0,0
1.14.13.226,35,175,35
1.14.13.227,13,65,0
1.14.13.228,40,200,40
1.14.13.229,30,150,30
1.14.13.231,13,65,13
1.14.13.232,18,90,18
1.14.13.233,41,205,41
1.14.13.234,40,200,40
1.14.13.235,31,155,31
1.14.13.236,26,130,26
1.14.13.237,40,200,40
1.14.13.238,45,225,45
1.14.13.239,8,40,0
1.14.13.24,15,75,15
1.14.13.240,25,125,25
1.14.13.244,21,105,21
1.14.13.248,17,85,17
1.14.13.249,16,80,16
1.14.13.25,12,60,0
1.14.13.250,38,190,38
1.14.13.252,33,165,33
1.14.13.253,11,55,0
1.14.13.32,23,115,23
1.14.13.33,32,160,32
1.14.13.38,17,85,17
1.14.13.39,28,140,28
1.14.13.43,46,230,46
1.14.13.59,10,50,10
1.14.13.63,42,210,42
1.14.13.7,18,90,18
1.14.13.8,12,60,0
1.14.13.81,6,30,0
1.14.13.82,26,130,26
1.14.13.83,41,205,41
1.14.13.9,5,25,0
1.14.13.92,36,180,36
1.14.13.n7,17,85,0
1.14.14.-,5,25,0
1.14.14.1,7,35,0
1.14.14.10,33,165,33
1.14.14.102,24,120,24
1.14.14.103,32,160,32
1.14.14.104,34,170,34
1.14.14.108,35,175,35
1.14.14.109,42,210,42
1.14.14.11,17,85,17
1.14.14.111,37,185,37
1.14.14.113,35,175,35
1.14.14.114,39,195,39
1.14.14.115,19,95,19
1.14.14.116,32,160,32
1.14.14.117,13,65,13
1.14.14.118,11,55,11
1.14.14.119,17,85,17
1.14.14.12,14,70,14
1.14.14.120,45,225,45
1.14.14.121,43,215,43
1.14.14.124,26,130,26
1.14.14.125,27,135,27
1.14.14.126,12,60,0
1.14.14.128,42,210,42
1.14.14.129,45,225,45
1.14.14.13,23,115,23
1.14.14.131,37,185,37
1.14.14.132,45,225,45
1.14.14.139,32,160,32
1.14.14.14,1,5,0
1.14.14.141,26,130,26
1.14.14.145,46,230,46
1.14.14.147,43,215,43
1.14.14.148,48,240,48
1.14.14.151,45,225,45
1.14.14.152,30,150,30
1.14.14.153,36,180,36
1.14.14.154,3,15,0
1.14.14.155,31,155,31
1.14.14.156,23,115,23
1.14.14.157,43,215,43
1.14.14.159,42,210,42
1.14.14.16,13,65,0
1.14.14.160,48,240,48
1.14.14.163,44,220,44
1.14.14.165,55,275,55
1.14.14.166,43,215,43
1.14.14.167,46,230,46
1.14.14.168,27,135,27
1.14.14.169,44,220,44
1.14.14.17,9,45,0
1.14.14.170,53,265,53
1.14.14.171,34,170,34
1.14.14.173,39,195,39
1.14.14.174,32,160,32
1.14.14.175,24,120,24
1.14.14.178,26,130,26
1.14.14.179,42,210,42
1.14.14.18,10,50,0
1.14.14.180,43,215,43
1.14.14.181,22,110,22
1.14.14.184,39,195,39
1.14.14.186,36,180,36
1.14.14.187,29,145,29
1.14.14.188,25,125,25
1.14.14.189,45,225,45
1.14.14.19,13,65,0
1.14.14.190,49,245,49
1.14.14.21,13,65,13
1.14.14.22,20,100,20
1.14.14.23,23,115,23
